sample,datetime,wtemp_p_1,wtrhgt__2,batt_mi_3
122,08/29/2015 04:55:00,24.2,-1,3.55
123,08/29/2015 05:00:00,24.2,-1,3.55
124,08/29/2015 05:05:00,23.8,-1,3.55
125,08/29/2015 05:10:00,23.8,-1,3.55
126,08/29/2015 05:15:00,23.8,-1,3.55
127,08/29/2015 05:20:00,23.8,-1,3.55
128,08/29/2015 05:25:00,23.8,-1,3.55
129,08/29/2015 05:30:00,23.8,-1,3.55
130,08/29/2015 05:35:00,23.8,-1,3.55
131,08/29/2015 05:40:00,23.8,-1,3.55
132,08/29/2015 05:45:00,23.8,-1,3.55
133,08/29/2015 05:50:00,23.8,-1,3.55
134,08/29/2015 05:55:00,23.8,-1,3.55
135,08/29/2015 06:00:00,23.8,-1,3.55
136,08/29/2015 06:05:00,23.8,-1,3.55
137,08/29/2015 06:10:00,23.8,-1,3.55
138,08/29/2015 06:15:00,23.8,-1,3.55
139,08/29/2015 06:20:00,23.8,-1,3.55
140,08/29/2015 06:25:00,23.8,-1,3.55
141,08/29/2015 06:30:00,23.8,-1,3.55
142,08/29/2015 06:35:00,23.8,-1,3.55
143,08/29/2015 06:40:00,23.8,-1,3.55
144,08/29/2015 06:45:00,23.8,-1,3.55
145,08/29/2015 06:50:00,23.8,-1,3.55
146,08/29/2015 06:55:00,23.8,-1,3.55
147,08/29/2015 07:00:00,23.8,-1,3.55
148,08/29/2015 07:05:00,23.8,-1,3.55
149,08/29/2015 07:10:00,23.8,-1,3.55
150,08/29/2015 07:15:00,23.8,-1,3.55
151,08/29/2015 07:20:00,23.8,-1,3.55
152,08/29/2015 07:25:00,23.8,-1,3.55
153,08/29/2015 07:30:00,23.8,-1,3.55
154,08/29/2015 07:35:00,23.8,-1,3.55
155,08/29/2015 07:40:00,23.8,-1,3.55
156,08/29/2015 07:45:00,23.8,-1,3.55
157,08/29/2015 07:50:00,23.8,-1,3.55
158,08/29/2015 07:55:00,23.8,-1,3.55
159,08/29/2015 08:00:00,23.8,-1,3.55
160,08/29/2015 08:05:00,23.8,-1,3.55
161,08/29/2015 08:10:00,23.8,-1,3.55
162,08/29/2015 08:15:00,23.8,-1,3.55
163,08/29/2015 08:20:00,23.8,-1,3.55
164,08/29/2015 08:25:00,23.8,-1,3.55
165,08/29/2015 08:30:00,23.8,-1,3.55
166,08/29/2015 08:35:00,23.8,-1,3.55
167,08/29/2015 08:40:00,23.8,-1,3.55
168,08/29/2015 08:45:00,23.8,-1,3.55
169,08/29/2015 08:50:00,23.8,-1,3.55
170,08/29/2015 08:55:00,23.8,-1,3.55
171,08/29/2015 09:00:00,23.8,-1,3.55
172,08/29/2015 09:05:00,23.8,-1,3.55
173,08/29/2015 09:10:00,23.8,-1,3.55
174,08/29/2015 09:15:00,23.8,-1,3.55
175,08/29/2015 09:20:00,23.8,-1,3.55
176,08/29/2015 09:25:00,23.8,-1,3.55
177,08/29/2015 09:30:00,23.8,-1,3.55
178,08/29/2015 09:35:00,23.8,-1,3.55
179,08/29/2015 09:40:00,23.8,-1,3.55
180,08/29/2015 09:45:00,23.8,-1,3.56
181,08/29/2015 09:50:00,23.8,-1,3.56
182,08/29/2015 09:55:00,23.8,-1,3.56
183,08/29/2015 10:00:00,23.8,-1,3.56
184,08/29/2015 10:05:00,23.8,-1,3.56
185,08/29/2015 10:10:00,23.8,-1,3.56
186,08/29/2015 10:15:00,23.8,-1,3.56
187,08/29/2015 10:20:00,23.8,-1,3.56
188,08/29/2015 10:25:00,23.8,-1,3.56
189,08/29/2015 10:30:00,23.8,-1,3.56
190,08/29/2015 10:35:00,23.8,-1,3.56
191,08/29/2015 10:40:00,23.8,-1,3.56
192,08/29/2015 10:45:00,23.8,-1,3.56
193,08/29/2015 10:50:00,23.8,-1,3.56
194,08/29/2015 10:55:00,23.8,-2,3.56
195,08/29/2015 11:00:00,23.8,-2,3.56
196,08/29/2015 11:05:00,23.8,-2,3.56
197,08/29/2015 11:10:00,23.8,-1,3.56
198,08/29/2015 11:15:00,23.8,-1,3.56
199,08/29/2015 11:20:00,23.8,-1,3.56
200,08/29/2015 11:25:00,23.8,-1,3.56
201,08/29/2015 11:30:00,23.8,-1,3.56
202,08/29/2015 11:35:00,23.8,-1,3.56
203,08/29/2015 11:40:00,23.8,-1,3.56
204,08/29/2015 11:45:00,23.8,-1,3.56
205,08/29/2015 11:50:00,23.8,-1,3.56
206,08/29/2015 11:55:00,23.8,-1,3.56
207,08/29/2015 12:00:00,23.8,-1,3.56
208,08/29/2015 12:05:00,23.8,-1,3.56
209,08/29/2015 12:10:00,23.8,-1,3.56
210,08/29/2015 12:15:00,23.8,-1,3.56
211,08/29/2015 12:20:00,23.8,-1,3.56
212,08/29/2015 12:25:00,23.8,-1,3.56
213,08/29/2015 12:30:00,23.8,-1,3.57
214,08/29/2015 12:35:00,23.8,-1,3.57
215,08/29/2015 12:40:00,23.8,-1,3.57
216,08/29/2015 12:45:00,23.8,-1,3.56
217,08/29/2015 12:50:00,23.8,-1,3.57
218,08/29/2015 12:55:00,23.8,-1,3.57
219,08/29/2015 13:00:00,23.8,-1,3.57
220,08/29/2015 13:05:00,23.8,-1,3.57
221,08/29/2015 13:10:00,23.8,-1,3.57
222,08/29/2015 13:15:00,23.8,-1,3.57
223,08/29/2015 13:20:00,23.8,-1,3.57
224,08/29/2015 13:25:00,23.8,-1,3.57
225,08/29/2015 13:30:00,23.8,-1,3.57
226,08/29/2015 13:35:00,23.8,-1,3.57
227,08/29/2015 13:40:00,23.8,-1,3.57
228,08/29/2015 13:45:00,23.8,-1,3.57
229,08/29/2015 13:50:00,23.8,-1,3.57
230,08/29/2015 13:55:00,23.8,-1,3.57
231,08/29/2015 14:00:00,23.8,-1,3.57
232,08/29/2015 14:05:00,23.8,-1,3.57
233,08/29/2015 14:10:00,23.8,-1,3.57
234,08/29/2015 14:15:00,23.8,-1,3.57
235,08/29/2015 14:20:00,23.8,-1,3.57
236,08/29/2015 14:25:00,23.8,-1,3.57
237,08/29/2015 14:30:00,23.8,-1,3.57
238,08/29/2015 14:35:00,23.8,-1,3.57
239,08/29/2015 14:40:00,23.8,-1,3.57
240,08/29/2015 14:45:00,23.8,-1,3.57
241,08/29/2015 14:50:00,23.8,-1,3.57
242,08/29/2015 14:55:00,23.8,-1,3.57
243,08/29/2015 15:00:00,23.8,-1,3.57
244,08/29/2015 15:05:00,23.8,-1,3.57
245,08/29/2015 15:10:00,23.8,-1,3.57
246,08/29/2015 15:15:00,23.8,-1,3.57
247,08/29/2015 15:20:00,23.8,-1,3.57
248,08/29/2015 15:25:00,23.8,-1,3.57
249,08/29/2015 15:30:00,23.8,-1,3.57
250,08/29/2015 15:35:00,24.2,-1,3.57
251,08/29/2015 15:40:00,24.2,-1,3.57
252,08/29/2015 15:45:00,24.2,-1,3.57
253,08/29/2015 15:50:00,24.2,-1,3.57
254,08/29/2015 15:55:00,24.2,-1,3.56
255,08/29/2015 16:00:00,24.2,-1,3.56
256,08/29/2015 16:05:00,24.2,-1,3.56
257,08/29/2015 16:10:00,24.2,-1,3.56
258,08/29/2015 16:15:00,24.2,-2,3.56
259,08/29/2015 16:20:00,24.2,-1,3.56
260,08/29/2015 16:25:00,24.2,-1,3.56
261,08/29/2015 16:30:00,24.2,-1,3.57
262,08/29/2015 16:35:00,24.2,-2,3.57
263,08/29/2015 16:40:00,24.2,-2,3.57
264,08/29/2015 16:45:00,24.2,-1,3.57
265,08/29/2015 16:50:00,24.2,-1,3.57
266,08/29/2015 16:55:00,24.2,-2,3.57
267,08/29/2015 17:00:00,24.2,-2,3.56
268,08/29/2015 17:05:00,24.2,-2,3.56
269,08/29/2015 17:10:00,24.2,-2,3.56
270,08/29/2015 17:15:00,24.2,-2,3.56
271,08/29/2015 17:20:00,24.2,-2,3.56
272,08/29/2015 17:25:00,24.2,-2,3.56
273,08/29/2015 17:30:00,24.2,-2,3.56
274,08/29/2015 17:35:00,24.2,-2,3.56
275,08/29/2015 17:40:00,24.2,-2,3.56
276,08/29/2015 17:45:00,24.2,-2,3.56
277,08/29/2015 17:50:00,24.2,-2,3.56
278,08/29/2015 17:55:00,24.2,-2,3.56
279,08/29/2015 18:00:00,24.2,-2,3.56
280,08/29/2015 18:05:00,24.2,-2,3.56
281,08/29/2015 18:10:00,24.2,-2,3.56
282,08/29/2015 18:15:00,24.2,-2,3.56
283,08/29/2015 18:20:00,24.2,-2,3.56
284,08/29/2015 18:25:00,24.2,-2,3.56
285,08/29/2015 18:30:00,24.2,-2,3.56
286,08/29/2015 18:35:00,24.2,-2,3.56
287,08/29/2015 18:40:00,24.2,-2,3.56
288,08/29/2015 18:45:00,24.2,-2,3.56
289,08/29/2015 18:50:00,24.2,-2,3.56
290,08/29/2015 18:55:00,24.2,-2,3.56
291,08/29/2015 19:00:00,24.2,-2,3.56
292,08/29/2015 19:05:00,24.2,-2,3.56
293,08/29/2015 19:10:00,24.2,-2,3.56
294,08/29/2015 19:15:00,24.2,-2,3.56
295,08/29/2015 19:20:00,24.2,-2,3.56
296,08/29/2015 19:25:00,24.2,-2,3.56
297,08/29/2015 19:30:00,24.2,-2,3.56
298,08/29/2015 19:35:00,24.2,-2,3.56
299,08/29/2015 19:40:00,24.2,-2,3.56
300,08/29/2015 19:45:00,24.2,-2,3.56
301,08/29/2015 19:50:00,24.2,-2,3.56
302,08/29/2015 19:55:00,24.2,-2,3.56
303,08/29/2015 20:00:00,24.2,-2,3.56
304,08/29/2015 20:05:00,24.2,-2,3.56
305,08/29/2015 20:10:00,24.2,-2,3.56
306,08/29/2015 20:15:00,24.2,-2,3.56
307,08/29/2015 20:20:00,24.2,-2,3.56
308,08/29/2015 20:25:00,24.2,-2,3.56
309,08/29/2015 20:30:00,24.2,-1,3.56
310,08/29/2015 20:35:00,24.2,-2,3.56
311,08/29/2015 20:40:00,24.2,-2,3.56
312,08/29/2015 20:45:00,24.2,-2,3.56
313,08/29/2015 20:50:00,24.2,-2,3.56
314,08/29/2015 20:55:00,24.2,-2,3.56
315,08/29/2015 21:00:00,24.2,-2,3.56
316,08/29/2015 21:05:00,24.2,-2,3.56
317,08/29/2015 21:10:00,24.2,-2,3.56
318,08/29/2015 21:15:00,24.2,-2,3.56
319,08/29/2015 21:20:00,24.2,-2,3.56
320,08/29/2015 21:25:00,24.2,-2,3.56
321,08/29/2015 21:30:00,24.2,-2,3.56
322,08/29/2015 21:35:00,24.2,-2,3.55
323,08/29/2015 21:40:00,24.2,-2,3.55
324,08/29/2015 21:45:00,24.2,-2,3.56
325,08/29/2015 21:50:00,24.2,-2,3.55
326,08/29/2015 21:55:00,24.2,-2,3.55
327,08/29/2015 22:00:00,24.2,-2,3.56
328,08/29/2015 22:05:00,24.2,-2,3.55
329,08/29/2015 22:10:00,24.2,-2,3.55
330,08/29/2015 22:15:00,24.2,-2,3.55
331,08/29/2015 22:20:00,24.2,-2,3.55
332,08/29/2015 22:25:00,24.2,-2,3.55
333,08/29/2015 22:30:00,24.2,-2,3.55
334,08/29/2015 22:35:00,24.2,-2,3.55
335,08/29/2015 22:40:00,24.2,-2,3.55
336,08/29/2015 22:45:00,24.2,-1,3.55
337,08/29/2015 22:50:00,24.2,-1,3.55
338,08/29/2015 22:55:00,24.2,-1,3.55
339,08/29/2015 23:00:00,24.2,-1,3.55
340,08/29/2015 23:05:00,24.2,-1,3.55
341,08/29/2015 23:10:00,24.2,-1,3.55
342,08/29/2015 23:15:00,24.2,-1,3.55
343,08/29/2015 23:20:00,24.2,-1,3.55
344,08/29/2015 23:25:00,24.2,-1,3.55
345,08/29/2015 23:30:00,24.2,-1,3.55
346,08/29/2015 23:35:00,24.2,-1,3.55
347,08/29/2015 23:40:00,24.2,-1,3.55
348,08/29/2015 23:45:00,24.2,-1,3.55
349,08/29/2015 23:50:00,24.2,-1,3.55
350,08/29/2015 23:55:00,24.2,-1,3.55
351,08/30/2015 00:00:00,24.2,-1,3.55
352,08/30/2015 00:05:00,24.2,-1,3.55
353,08/30/2015 00:10:00,24.2,-1,3.55
354,08/30/2015 00:15:00,24.2,-1,3.55
355,08/30/2015 00:20:00,24.2,-1,3.55
356,08/30/2015 00:25:00,24.2,-1,3.55
357,08/30/2015 00:30:00,24.2,-1,3.55
358,08/30/2015 00:35:00,24.2,-1,3.55
359,08/30/2015 00:40:00,24.2,-1,3.55
360,08/30/2015 00:45:00,24.2,-1,3.55
361,08/30/2015 00:50:00,24.2,-1,3.55
362,08/30/2015 00:55:00,24.2,-1,3.55
363,08/30/2015 01:00:00,24.2,-2,3.55
364,08/30/2015 01:05:00,24.2,-2,3.55
365,08/30/2015 01:10:00,24.2,-1,3.55
366,08/30/2015 01:15:00,24.2,-2,3.55
367,08/30/2015 01:20:00,24.2,-1,3.55
368,08/30/2015 01:25:00,24.2,-1,3.55
369,08/30/2015 01:30:00,24.2,-2,3.55
370,08/30/2015 01:35:00,24.2,-2,3.55
371,08/30/2015 01:40:00,24.2,-2,3.55
372,08/30/2015 01:45:00,24.2,-2,3.55
373,08/30/2015 01:50:00,24.2,-2,3.55
374,08/30/2015 01:55:00,24.2,-2,3.55
375,08/30/2015 02:00:00,24.2,-2,3.55
376,08/30/2015 02:05:00,24.2,-2,3.55
377,08/30/2015 02:10:00,24.2,-1,3.55
378,08/30/2015 02:15:00,24.2,-1,3.55
379,08/30/2015 02:20:00,24.2,-1,3.55
380,08/30/2015 02:25:00,24.2,-1,3.55
381,08/30/2015 02:30:00,24.2,-1,3.55
382,08/30/2015 02:35:00,24.2,-1,3.55
383,08/30/2015 02:40:00,24.2,-1,3.55
384,08/30/2015 02:45:00,24.2,-1,3.55
385,08/30/2015 02:50:00,23.8,-1,3.55
386,08/30/2015 02:55:00,23.8,-1,3.55
387,08/30/2015 03:00:00,23.8,-1,3.55
388,08/30/2015 03:05:00,23.8,-1,3.55
389,08/30/2015 03:10:00,23.8,-1,3.55
390,08/30/2015 03:15:00,23.8,-1,3.55
391,08/30/2015 03:20:00,23.8,-1,3.55
392,08/30/2015 03:25:00,23.8,-1,3.55
393,08/30/2015 03:30:00,23.8,-1,3.55
394,08/30/2015 03:35:00,23.8,-1,3.55
395,08/30/2015 03:40:00,23.8,-1,3.55
396,08/30/2015 03:45:00,23.8,-1,3.55
397,08/30/2015 03:50:00,23.8,-1,3.55
398,08/30/2015 03:55:00,23.8,-1,3.55
399,08/30/2015 04:00:00,23.8,-1,3.55
400,08/30/2015 04:05:00,23.8,-1,3.55
401,08/30/2015 04:10:00,23.8,-1,3.55
402,08/30/2015 04:15:00,23.8,-1,3.55
403,08/30/2015 04:20:00,23.8,-1,3.55
404,08/30/2015 04:25:00,23.8,-1,3.55
405,08/30/2015 04:30:00,23.8,-1,3.55
406,08/30/2015 04:35:00,23.8,-1,3.55
407,08/30/2015 04:40:00,23.8,-1,3.55
408,08/30/2015 04:45:00,23.8,-1,3.55
409,08/30/2015 04:50:00,23.8,-1,3.55
410,08/30/2015 04:55:00,23.8,-1,3.55
411,08/30/2015 05:00:00,23.8,-1,3.55
412,08/30/2015 05:05:00,23.8,-1,3.55
